"id","event_name","event_sequence","start_date_time","end_date_time","status","created_at","updated_at","deleted_at"
"1","Party Dispatch","1","2023-09-14 16:22:43","2023-09-14 16:22:43","1","2023-09-14 16:23:43","2023-09-14 16:23:43",NULL
"2","Party Arrived","2","2023-09-14 16:23:46","2023-09-14 16:23:46","1","2023-09-14 16:24:05","2023-09-14 16:24:05",NULL
"3","Setup of Polling Station","3","2023-09-14 16:24:08","2023-09-14 16:24:08","1","2023-09-14 16:24:41","2023-09-14 16:24:41",NULL
"4","Mock Poll Done","4","2023-09-14 16:24:43","2023-09-14 16:24:43","1","2023-09-14 16:24:59","2023-09-14 16:24:59",NULL
"5","Poll Started","5","2023-09-14 16:25:02","2023-09-14 16:25:02","1","2023-09-14 16:25:13","2023-09-14 16:25:13",NULL
"6","Voter Turnout","6","2023-09-14 16:25:17","2023-09-14 16:25:17","1","2023-09-14 16:25:34","2023-09-14 16:25:34",NULL
"7","Voter in Queue at 6 PM","7","2023-09-14 16:25:40","2023-09-14 16:25:40","1","2023-09-14 16:26:09","2023-09-14 16:26:09",NULL
"8","Final votes","8","2023-09-14 16:26:12","2023-09-14 16:26:12","1","2023-09-14 16:26:46","2023-09-14 16:26:46",NULL
"9","Poll Ended","9","2023-09-14 16:26:12","2023-09-14 16:26:12","1","2023-09-14 16:26:46","2023-09-14 16:26:46",NULL
"10","Machine Closed & EVM Switched Off","10","2023-09-14 16:26:48","2023-09-14 16:26:48","1","2023-09-14 16:27:30","2023-09-14 16:27:30",NULL
"11","Party Departed from PS","11","2023-09-14 16:27:34","2023-09-14 16:27:34","1","2023-09-14 16:27:53","2023-09-14 16:27:53",NULL
"12","Party Reached at Collection Centre","12","2023-09-14 16:27:59","2023-09-14 16:27:59","1","2023-09-14 16:28:27","2023-09-14 16:28:27",NULL
"13","EVM Deposited","13","2023-09-14 16:28:31","2023-09-14 16:28:31","1","2023-09-14 16:28:49","2023-09-14 16:28:49",NULL
"14","Poll Interruption","14","2023-09-14 16:28:54","2023-09-14 16:28:54","1","2023-09-14 16:29:19","2023-09-14 16:29:19",NULL
